,Organism
1062,Populus tremuloides
1063,Populus trichocarpa
1064,Porcine enteric
1065,Porphyridium purpureum
1066,Porphyromonas gingivalis
1067,Prevotella bryantii
1068,Prochlorococcus marinus
1069,Prochlorococcus phage
1070,Prochlorothrix hollandica
1071,Propionibacterium freudenreichii
1072,Prosthecochloris vibrioformis
1073,Proteus hauseri
1074,Proteus mirabilis
1075,Proteus vulgaris
1076,Protobothrops flavoviridis
1077,Providencia alcalifaciens
1078,Providencia stuartii
1079,Prunus avium
1080,Prunus dulcis
1081,Prunus mume
1082,Pseudaminobacter salicylatoxidans
1083,Pseudarthrobacter chlorophenolicus
1084,Pseudarthrobacter oxydans
1085,Pseudechis australis
1086,Pseudoalteromonas atlantica
1087,Pseudoalteromonas carrageenovora
1088,Pseudoalteromonas haloplanktis
1089,Pseudoalteromonas sp.
1090,Pseudogluconobacter saccharoketogenes
1091,Pseudomonas aeruginosa
1092,Pseudomonas amyloderamosa
1093,Pseudomonas cichorii
1094,Pseudomonas denitrificans
1095,Pseudomonas fluorescens
1096,Pseudomonas fragi
1097,Pseudomonas knackmussii
1098,Pseudomonas mendocina
1099,Pseudomonas mevalonii
1100,Pseudomonas nitroreducens
1101,Pseudomonas oleovorans
1102,Pseudomonas pavonaceae
1103,Pseudomonas phage
1104,Pseudomonas protegens
1105,Pseudomonas putida
1106,Pseudomonas reinekei
1107,Pseudomonas savastanoi
1108,Pseudomonas sp.
1109,Pseudomonas stutzeri
1110,Pseudomonas syringae
1111,Pseudomonas veronii
1112,Pseudomonas virus
1113,Pseudonaja textilis
1114,Pseudonocardia autotrophica
1115,Pseudonocardia thermophila
1116,Pseudopedobacter saltans
1117,Pseudothermotoga thermarum
1118,Pseudoxanthomonas mexicana
1119,Psychrobacter arcticus
1120,Psychrobacter cryohalolentis
1121,Psychromonas ingrahamii
1122,Pteris ryukyuensis
1123,Pyricularia oryzae
1124,Pyrobaculum aerophilum
1125,Pyrobaculum calidifontis
1126,Pyrobaculum islandicum
1127,Pyrobaculum neutrophilum
1128,Pyrococcus abyssi
1129,Pyrococcus furiosus
1130,Pyrococcus horikoshii
1131,Pyrococcus woesei
1132,Pyrococcus yayanosii
1133,Pyrus pyrifolia
1134,Rabbit hemorrhagic
1135,Ralstonia pickettii
1136,Ralstonia solanacearum
1137,Ralstonia sp.
1138,Raoultella planticola
1139,Raphanus sativus
1140,Rasamsonia emersonii
1141,Rattus norvegicus
1142,Rattus rattus
1143,Rauvolfia serpentina
1144,Renilla reniformis
1145,Reovirus sp.
1146,Rheum palmatum
1147,Rhipicephalus microplus
1148,Rhizobium etli
1149,Rhizobium leguminosarum
1150,Rhizobium sp.
1151,Rhizomucor miehei
1152,Rhizomucor pusillus
1153,Rhizopus microsporus
1154,Rhizopus niveus
1155,Rhizopus oryzae
1156,Rhodiola rosea
1157,Rhodnius prolixus
1158,Rhodobacter capsulatus
1159,Rhodococcus erythropolis
1160,Rhodococcus jostii
1161,Rhodococcus opacus
1162,Rhodococcus rhodochrous
1163,Rhodococcus ruber
1164,Rhodococcus sp.
1165,Rhodopseudomonas palustris
1166,Rhodospirillum rubrum
1167,Rhodothermus marinus
1168,Rhodotorula toruloides
1169,Rhodovulum sp.
1170,Rhodovulum sulfidophilum
1171,Ricinus communis
1172,Rickettsia conorii
1173,Rickettsia felis
1174,Rickettsia prowazekii
1175,Rickettsia rickettsii
1176,Rickettsia typhi
1177,Rigidoporus microporus
1178,Rosa hybrid
1179,Roseburia intestinalis
1180,Roseobacter denitrificans
1181,Rous sarcoma
1182,Roystonea regia
1183,Rubrobacter xylanophilus
1184,Ruditapes philippinarum
1185,Ruegeria lacuscaerulensis
1186,Ruegeria pomeroyi
1187,Ruminiclostridium cellulolyticum
1188,Ruminiclostridium josui
1189,Ruminiclostridium papyrosolvens
1190,Ruminococcus albus
1191,Saccharolobus shibatae
1192,Saccharolobus solfataricus
1193,Saccharomonospora viridis
1194,Saccharomyces cerevisiae
1195,Saccharomyces mikatae
1196,Saccharomyces pastorianus
1197,Saccharomycopsis fibuligera
1198,Saccharophagus degradans
1199,Saccharopolyspora erythraea
1200,Saccharopolyspora spinosa
1201,Saccharum hybrid
1202,Saguinus oedipus
1203,Saimiri boliviensis
1204,Saint Louis
1205,Salinibacter ruber
1206,Salinispora tropica
1207,Salipaludibacillus agaradhaerens
1208,Salipiger bermudensis
1209,Salmo salar
1210,Salmonella enterica
1211,Salmonella virus
1212,Salvia miltiorrhiza
1213,Salvia officinalis
1214,Sambucus ebulus
1215,Sambucus nigra
1216,Santalum album
1217,Saponaria officinalis
1218,Sapporo virus
1219,Saprolegnia monoica
1220,SARS coronavirus
1221,Scaptodrosophila lebanonensis
1222,Scheffersomyces stipitis
1223,Schistosoma haematobium
1224,Schistosoma japonicum
1225,Schistosoma mansoni
1226,Schizosaccharomyces japonicus
1227,Schizosaccharomyces pombe
1228,Schwanniomyces occidentalis
1229,Scylla paramamosain
1230,Scytalidium lignicola
1231,Sebaldella termitidis
1232,Secale cereale
1233,Sedimentibacter hydroxybenzoicus
1234,Selaginella moellendorffii
1235,Selenomonas ruminantium
1236,Senna obtusifolia
1237,Sepia officinalis
1238,Serendipita indica
1239,Serratia fonticola
1240,Serratia marcescens
1241,Serratia plymuthica
1242,Serratia proteamaculans
1243,Serratia sp.
1244,Shewanella amazonensis
1245,Shewanella baltica
1246,Shewanella benthica
1247,Shewanella denitrificans
1248,Shewanella frigidimarina
1249,Shewanella halifaxensis
1250,Shewanella loihica
1251,Shewanella massilia
1252,Shewanella oneidensis
1253,Shewanella pealeana
1254,Shewanella piezotolerans
1255,Shewanella sp.
1256,Shigella boydii
1257,Shigella dysenteriae
1258,Shigella flexneri
1259,Shimwellia blattae
1260,Shinella sp.
1261,Shrimp white
1262,Simian immunodeficiency
1263,Simian rotavirus
1264,Sinapis alba
1265,Sindbis virus
1266,Sinonovacula constricta
1267,Sinorhizobium meliloti
1268,Siraitia grosvenorii
1269,Sitophilus oryzae
1270,Slackia exigua
1271,Solanum habrochaites
1272,Solanum lycopersicum
1273,Solanum tuberosum
1274,Solenopsis invicta
1275,Sorangium cellulosum
1276,Sordaria macrospora
1277,Sorghum bicolor
1278,Southampton virus
1279,Sphaerobacter thermophilus
1280,Sphingobacterium multivorum
1281,Sphingobacterium spiritivorum
1282,Sphingobium chlorophenolicum
1283,Sphingobium herbicidovorans
1284,Sphingobium indicum
1285,Sphingobium japonicum
1286,Sphingobium sp.
1287,Sphingobium yanoikuyae
1288,Sphingomonas elodea
1289,Sphingomonas paucimobilis
1290,Sphingomonas sp.
1291,Sphingomonas wittichii
1292,Sphingopyxis alaskensis
1293,Sphingopyxis macrogoltabida
1294,Sphingopyxis sp.
1295,Sphingosinicella xenopeptidilytica
1296,Spinacia oleracea
1297,Spirochaeta thermophila
1298,Spirosoma linguale
1299,Spisula solidissima
1300,Spodoptera frugiperda
1301,Sporidiobolus salmonicolor
1302,Sporomusa ovata
1303,Sporosarcina globispora
1304,Sporosarcina pasteurii
1305,Sporosarcina psychrophila
1306,Squalus acanthias
1307,Staphylococcus aureus
1308,Staphylococcus capitis
1309,Staphylococcus carnosus
1310,Staphylococcus epidermidis
1311,Staphylococcus haemolyticus
1312,Staphylococcus hyicus
1313,Staphylococcus saprophyticus
1314,Staphylococcus simulans
1315,Staphylococcus sp.
1316,Staphylococcus virus
1317,Staphylococcus warneri
1318,Staphylothermus marinus
1319,Starkeya novella
1320,Steccherinum ochraceum
1321,Stenotrophomonas maltophilia
1322,Streptoalloteichus tenebrarius
1323,Streptococcus agalactiae
1324,Streptococcus anginosus
1325,Streptococcus cristatus
1326,Streptococcus dysgalactiae
1327,Streptococcus gordonii
1328,Streptococcus mutans
1329,Streptococcus phage
1330,Streptococcus pneumoniae
1331,Streptococcus pyogenes
1332,Streptococcus sanguinis
1333,Streptococcus sp.
1334,Streptococcus suis
1335,Streptococcus thermophilus
1336,Streptococcus uberis
1337,Streptomyces actuosus
1338,Streptomyces albidoflavus
1339,Streptomyces albus
1340,Streptomyces ambofaciens
1341,Streptomyces ansochromogenes
1342,Streptomyces antibioticus
1343,Streptomyces arenae
1344,Streptomyces avermitilis
1345,Streptomyces bikiniensis
1346,Streptomyces cacaoi
1347,Streptomyces caespitosus
1348,Streptomyces carzinostaticus
1349,Streptomyces castaneoglobisporus
1350,Streptomyces cattleya
1351,Streptomyces cinnamoneus
1352,Streptomyces clavuligerus
1353,Streptomyces coelicolor
1354,Streptomyces collinus
1355,Streptomyces cyaneus
1356,Streptomyces davaonensis
1357,Streptomyces diastaticus
1358,Streptomyces exfoliatus
1359,Streptomyces fradiae
1360,Streptomyces galilaeus
1361,Streptomyces glaucescens
1362,Streptomyces globisporus
1363,Streptomyces griseocarneus
1364,Streptomyces griseolus
1365,Streptomyces griseus
1366,Streptomyces halstedii
1367,Streptomyces hygroscopicus
1368,Streptomyces kanamyceticus
1369,Streptomyces lavendulae
1370,Streptomyces lividans
1371,Streptomyces matensis
1372,Streptomyces melanosporofaciens
1373,Streptomyces mobaraensis
1374,Streptomyces murinus
1375,Streptomyces niveus
1376,Streptomyces nodosus
1377,Streptomyces nogalater
1378,Streptomyces noursei
1379,Streptomyces olivaceoviridis
1380,Streptomyces olivochromogenes
1381,Streptomyces peucetius
1382,Streptomyces plicatus
1383,Streptomyces pristinaespiralis
1384,Streptomyces purpurascens
1385,Streptomyces ribosidificus
1386,Streptomyces rimosus
1387,Streptomyces rochei
1388,Streptomyces roseochromogenus
1389,Streptomyces rubellomurinus
1390,Streptomyces rubiginosus
1391,Streptomyces scabiei
1392,Streptomyces seoulensis
1393,Streptomyces sioyaensis
1394,Streptomyces sp.
1395,Streptomyces sviceus
1396,Streptomyces thermoviolaceus
1397,Streptomyces toyocaensis
1398,Streptomyces venezuelae
1399,Streptomyces vinaceus
1400,Streptomyces violaceoruber
1401,Streptomyces viridochromogenes
1402,Streptomyces viridosporus
1403,Streptomyces wedmorensis
1404,Streptosporangium roseum
1405,Struthio camelus
1406,Suid alphaherpesvirus
1407,Sulfitobacter sp.
1408,Sulfolobus acidocaldarius
1409,Sulfolobus islandicus
1410,Sulfurihydrogenibium sp.
1411,Sulfurimonas denitrificans
1412,Sulfurisphaera tokodaii
1413,Sulfurospirillum deleyianum
1414,Suregada multiflora
1415,Sus scrofa
1416,Symbiobacterium thermophilum
1417,Symbiobacterium toebii
1418,Synechococcus elongatus
1419,Synechococcus sp.
1420,Synechocystis sp.
1421,synthetic construct
1422,Syntrophomonas wolfei
1423,Syntrophus aciditrophicus
1424,Tachyglossus aculeatus
1425,Taenia solium
1426,Takifugu rubripes
1427,Talaromyces cellulolyticus
1428,Talaromyces funiculosus
1429,Talaromyces minioluteus
1430,Talaromyces pinophilus
1431,Talaromyces purpureogenus
1432,Talaromyces trachyspermus
1433,Taxus brevifolia
1434,Taxus canadensis
1435,Tellina virus
1436,Tenebrio molitor
1437,Teredinibacter turnerae
1438,Tetradesmus obliquus
1439,Tetrahymena thermophila
1440,Tetronarce californica
1441,Thalassiosira antarctica
1442,Thalassobius gelatinovorus
1443,Thalictrum flavum
1444,Thauera aromatica
1445,Thermaerobacter marianensis
1446,Thermoactinomyces vulgaris
1447,Thermoanaerobacter brockii
1448,Thermoanaerobacter ethanolicus
1449,Thermoanaerobacter italicus
1450,Thermoanaerobacter pseudethanolicus
1451,Thermoanaerobacterium saccharolyticum
1452,Thermoanaerobacterium thermosaccharolyticum
1453,Thermoanaerobacterium thermosulfurigenes
1454,Thermoascus aurantiacus
1455,Thermobacillus composti
1456,Thermobacillus xylanilyticus
1457,Thermobaculum terrenum
1458,Thermobifida cellulosilytica
1459,Thermobifida fusca
1460,Thermoclostridium stercorarium
1461,Thermococcus chitonophagus
1462,Thermococcus gammatolerans
1463,Thermococcus gorgonarius
1464,Thermococcus kodakarensis
1465,Thermococcus litoralis
1466,Thermococcus onnurineus
1467,Thermococcus profundus
1468,Thermococcus sibiricus
1469,Thermococcus sp.
1470,Thermococcus thioreducens
1471,Thermocrispum municipale
1472,Thermomicrobium roseum
1473,Thermomonospora curvata
1474,Thermomyces lanuginosus
1475,Thermoplasma acidophilum
1476,Thermoplasma volcanium
1477,Thermopolyspora flexuosa
1478,Thermoproteus tenax
1479,Thermoproteus uzoniensis
1480,Thermothelomyces thermophilus
1481,Thermotoga maritima
1482,Thermotoga neapolitana
1483,Thermotoga petrophila
1484,Thermovibrio ammonificans
1485,Thermus aquaticus
1486,Thermus brockianus
1487,Thermus caldophilus
1488,Thermus filiformis
1489,Thermus scotoductus
1490,Thermus sp.
1491,Thermus thermophilus
1492,Thioalkalivibrio nitratireducens
1493,Thioalkalivibrio paradoxus
1494,Thiobacillus denitrificans
1495,Thiobacillus sp.
1496,Thiobacillus thioparus
1497,Thiomonas intermedia
1498,Thuja plicata
1499,Todarodes pacificus
1500,Toxoplasma gondii
1501,Trametes cinnabarina
1502,Trametes hirsuta
1503,Trametes maxima
1504,Trametes ochracea
1505,Trametes sanguinea
1506,Trametes sp.
1507,Trametes versicolor
1508,Treponema denticola
1509,Treponema pallidum
1510,Tribolium castaneum
1511,Trichinella spiralis
1512,Trichoderma atroviride
1513,Trichoderma citrinoviride
1514,Trichoderma harzianum
1515,Trichoderma longibrachiatum
1516,Trichoderma reesei
1517,Trichoderma virens
1518,Trichoderma viride
1519,Trichomonas vaginalis
1520,Trichophyton rubrum
1521,Trichoplax adhaerens
1522,Trichoplusia ni
1523,Trichormus variabilis
1524,Trichosanthes kirilowii
1525,Trichosanthes sp.
1526,Trifolium repens
1527,Trimeresurus stejnegeri
1528,Triticum aestivum
1529,Tritrichomonas suis
1530,Tropaeolum majus
1531,Trypanosoma brucei
1532,Trypanosoma congolense
1533,Trypanosoma cruzi
1534,Trypanosoma rangeli
1535,Trypanosoma vivax
1536,Ulva pertusa
1537,Umbellularia californica
1538,uncultured archaeon
1539,uncultured bacterium
1540,uncultured microorganism
1541,uncultured organism
1542,unidentified influenza
1543,unidentified prokaryotic
1544,Ureaplasma parvum
1545,Ureaplasma urealyticum
1546,Urechis caupo
1547,Ureibacillus thermosphaericus
1548,Urtica dioica
1549,Ustilago maydis
1550,Ustilago sphaerogena
1551,Vaccinia virus
1552,Vanderwaltozyma polyspora
1553,Variola virus
1554,Variovorax sp.
1555,Vespa basalis
1556,Vespula vulgaris
1557,Vibrio alginolyticus
1558,Vibrio anguillarum
1559,Vibrio cholerae
1560,Vibrio harveyi
1561,Vibrio parahaemolyticus
1562,Vibrio proteolyticus
1563,Vibrio sp.
1564,Vibrio splendidus
1565,Vibrio vulnificus
1566,Vigna radiata
1567,Vigna unguiculata
1568,Vipera ammodytes
1569,Vipera berus
1570,Virgibacillus halodenitrificans
1571,Virgibacillus pantothenticus
1572,Virgibacillus salexigens
1573,Viscum album
1574,Vitis vinifera
1575,Weissella cibaria
1576,Weissella paramesenteroides
1577,Weissella viridescens
1578,Wesselsbron virus
1579,West Nile
1580,Wolinella succinogenes
1581,Wuchereria bancrofti
1582,Xanthobacter autotrophicus
1583,Xanthomonas albilineans
1584,Xanthomonas campestris
1585,Xanthomonas citri
1586,Xanthomonas oryzae
1587,Xenopus laevis
1588,Xenopus tropicalis
1589,Xenorhabdus bovienii
1590,Xiphophorus maculatus
1591,Xylella fastidiosa
1592,Yarrowia lipolytica
1593,Yellow fever
1594,Yersinia enterocolitica
1595,Yersinia kristensenii
1596,Yersinia pestis
1597,Yersinia pseudotuberculosis
1598,Yokose virus
1599,Zea mays
1600,Zika virus
1601,Zingiber officinale
1602,Zobellia galactanivorans
1603,Zoogloea ramigera
1604,Zymobacter palmae
1605,Zymomonas mobilis
