,Organism
1990,Chlorella fusca
1991,Chlorella ohadii
1992,Chlorella regularis
1993,Chlorella sorokiniana
1994,Chlorella sp.
1995,Chlorella variabilis
1996,Chlorella variegata
1997,Chlorella virus
1998,Chlorella vulgaris
1999,Chloridazon-degrading bacterium
2000,Chloridium sp.
2001,Chlorobaculum limnaeum
2002,Chlorobaculum tepidum
2003,Chlorobaculum thiosulfatiphilum
2004,chlorobenzene-degrading bacterium
2005,Chlorobium chlorochromatii
2006,Chlorobium ferrooxidans
2007,Chlorobium limicola
2008,Chlorobium phaeobacteroides
2009,Chlorobium phaeovibrioides
2010,Chlorobium sp.
2011,Chlorobium vibrioforme
2012,Chlorocebus aethiops
2013,Chlorocebus sabaeus
2014,Chlorococcum ellipsoideum
2015,Chlorococcum submarinum
2016,Chloroflexus aurantiacus
2017,Chloroflexus sp.
2018,Chlorogloeopsis fritschii
2019,Chlorogonium elongatum
2020,Chloroherpeton thalassium
2021,Chloroidium saccharophilum
2022,Chlorolobion braunii
2023,Chloronema sp.
2024,Chlorophyllum molybdites
2025,Chlorophyllum rhacodes
2026,Chlorophytum borivilianum
2027,Chlorostoma funebralis
2028,Chlorostoma lischkei
2029,Chlorovirus CVK2
2030,Choanephora cucurbitarum
2031,Choisya ternata
2032,Chondrodendron tomentosum
2033,Chondromyces crocatus
2034,Chondrostereum purpureum
2035,Chondrus crispus
2036,Chondrus verrucosus
2037,Choristoneura fumiferana
2038,Choristoneura parallela
2039,Choristoneura rosaceana
2040,Choromytilus meridionalis
2041,Chortoglyphus arcuatus
2042,Chroicocephalus genei
2043,Chromatium sp.
2044,Chromobacterium lividum
2045,Chromobacterium sp.
2046,Chromobacterium violaceum
2047,Chromobacterium viscosum
2048,Chromochloris zofingiensis
2049,Chromohalobacter salexigens
2050,Chromohalobacter sp.
2051,Chromolaena odorata
2052,Chroococcidiopsis sp.
2053,Chroococcidiopsis thermalis
2054,Chroomonas mesostigmatica
2055,Chroomonas pauciplastida
2056,Chroomonas salina
2057,Chrysanthellum indicum
2058,Chrysanthemum x
2059,Chrysaora quinquecirrha
2060,Chryseobacterium gleum
2061,Chryseobacterium indologenes
2062,Chryseobacterium proteolyticum
2063,Chryseobacterium sp.
2064,Chrysiogenes arsenatis
2065,Chrysiptera parasema
2066,Chrysodeixis chalcites
2067,Chrysomela aeneicollis
2068,Chrysomela populi
2069,Chrysomela tremula
2070,Chrysophrys guttulatus
2071,Chrysopogon benthamianus
2072,Chrysopogon zizanioides
2073,Chrysops viduatus
2074,Chrysosplenium americanum
2075,Chrysosporium lucknowense
2076,Chthoniobacter flavus
2077,Cicer arietinum
2078,Cichla ocellaris
2079,Cichlasoma dimerus
2080,Cichorium endivia
2081,Cichorium intybus
2082,Cimex lectularius
2083,Cinchona calisaya
2084,Cinchona officinalis
2085,Cinchona robusta
2086,Cinchona succirubra
2087,Cinnamomum camphora
2088,Cinnamomum longipaniculatum
2089,Cinnamomum parthenoxylon
2090,Cinnamomum tenuipile
2091,Ciona intestinalis
2092,Ciona sp.
2093,Circe scripta
2094,Circinella muscae
2095,Cirrhinus mrigala
2096,Cissites cephalotes
2097,Cistanche deserticola
2098,Cistanthe grandiflora
2099,Cistus albidus
2100,Cistus creticus
2101,Cistus incanus
2102,Citeromyces matritensis
2103,Citreicella sp.
2104,Citrobacter amalonaticus
2105,Citrobacter braakii
2106,Citrobacter farmeri
2107,Citrobacter freundii
2108,Citrobacter intermedius
2109,Citrobacter koseri
2110,Citrobacter rodentium
2111,Citrobacter sp.
2112,Citrobacter spp.
2113,Citrobacter youngae
2114,Citrofortunella microcarpa
2115,Citrofortunella mitis
2116,Citromicrobium bathyomarinum
2117,Citromicrobium sp.
2118,Citrullus colocynthis
2119,Citrullus ecirrhosus
2120,Citrullus lanatus
2121,Citrus aurantiifolia
2122,Citrus aurantium
2123,Citrus bergamia
2124,Citrus clementina
2125,Citrus jambhiri
2126,Citrus japonica
2127,Citrus junos
2128,Citrus limetta
2129,Citrus limettioides
2130,Citrus limmettioides
2131,Citrus limon
2132,Citrus limonia
2133,Citrus macrophylla
2134,Citrus macroptera
2135,Citrus maxima
2136,Citrus medica
2137,Citrus mitis
2138,Citrus natsudaidai
2139,Citrus nobilis
2140,Citrus reshni
2141,Citrus reticulata
2142,Citrus sinensis
2143,Citrus sp.
2144,Citrus trifoliata
2145,Citrus unshiu
2146,Citrus vulgaris
2147,Citrus x
2148,Cladosiphon okamuranus
2149,Cladosporium cladosporioides
2150,Cladosporium cucumerinum
2151,Cladosporium herbarum
2152,Cladosporium oxysporum
2153,Cladosporium sp.
2154,Clarias batrachus
2155,Clarias gariepinus
2156,Clarkia breweri
2157,Clarkia concinna
2158,Clarkia xantiana
2159,Claroideoglomus etunicatum
2160,Classical swine
2161,Clathria prolifera
2162,Clausena lansium
2163,Clava kochi
2164,Clavaria cristata
2165,Clavariopsis aquatica
2166,Clavibacter michiganensis
2167,Clavibacter michiganese
2168,Claviceps paspali
2169,Claviceps purpurea
2170,Claviceps sp.
2171,Clavispora lusitaniae
2172,Clematis vitalba
2173,Cleome graveolens
2174,Clibanarius vittatus
2175,Cliona celata
2176,Clitocybe nuda
2177,Clitocybe sp.
2178,Clitocybula dusenii
2179,Clitopilus prunulus
2180,Clitoria ternatea
2181,Clivia miniata
2182,Clonorchis sinensis
2183,Clonostachys rosea
2184,Clostridioides difficile
2185,Clostridioides mangenotii
2186,Clostridium aceticum
2187,Clostridium acetobutylicum
2188,Clostridium acidi-urici
2189,Clostridium aerotolerans
2190,Clostridium aminobutyricum
2191,Clostridium argentinense
2192,Clostridium asparagiforme
2193,Clostridium aurantibutyricum
2194,Clostridium autoethanogenum
2195,Clostridium baratii
2196,Clostridium beijerinckii
2197,Clostridium bolteae
2198,Clostridium botulinum
2199,Clostridium butyricum
2200,Clostridium cadaveris
2201,Clostridium capitorale
2202,Clostridium carboxidivorans
2203,Clostridium cellulovorans
2204,Clostridium chauvoei
2205,Clostridium clostridioforme
2206,Clostridium cochlearium
2207,Clostridium cylindrosporum
2208,Clostridium felsineum
2209,Clostridium formicaceticum
2210,Clostridium hiranonis
2211,Clostridium homopropionicum
2212,Clostridium hylemonae
2213,Clostridium indolis
2214,Clostridium innocuum
2215,Clostridium kluyveri
2216,Clostridium leptum
2217,Clostridium ljungdahlii
2218,Clostridium magnum
2219,Clostridium microsporum
2220,Clostridium multifermentans
2221,Clostridium novyi
2222,Clostridium oceanicum
2223,Clostridium paradoxum
2224,Clostridium paraputrificum
2225,Clostridium pasteurianum
2226,Clostridium perfringens
2227,Clostridium phage
2228,Clostridium rectum
2229,Clostridium roseum
2230,Clostridium saccharoacetobutylicum
2231,Clostridium saccharobutylicum
2232,Clostridium saccharobutyricum
2233,Clostridium saccharoperbutylacetonicum
2234,Clostridium sardiniense
2235,Clostridium scatologenes
2236,Clostridium scindens
2237,Clostridium septicum
2238,Clostridium sp.
2239,Clostridium sphenoides
2240,Clostridium sporogenes
2241,Clostridium sporosphaeroides
2242,Clostridium spp.
2243,Clostridium subterminale
2244,Clostridium symbiosum
2245,Clostridium tertium
2246,Clostridium tetani
2247,Clostridium tetanomorphum
2248,Clostridium thermoamylolyticum
2249,Clostridium tyrobutyricum
2250,Clostridium ultunense
2251,Clostridium uracilicum
2252,Clostridium ventriculi
2253,Clostridium welchii
2254,clover yellow
2255,Clupea harengus
2256,Clupea pallasii
2257,Clusia aripoensis
2258,Clusia minor
2259,Clytia gregaria
2260,Clytia hemisphaerica
2261,Cobetia marina
2262,Cobetia sp.
2263,Coccidioides immitis
2264,Coccidioides posadasii
2265,Coccinella septempunctata
2266,Coccochloris peniocystis
2267,Coccolithophora sp.
2268,Coccomyxa sp.
2269,Coccomyxa subellipsoidea
2270,Coccotylus truncatus
2271,Cocculus trilobus
2272,Cochlearia officinalis
2273,Cochliobolus pallescens
2274,Cocos nucifera
2275,Codonopsis lanceolata
2276,Coffea arabica
2277,Coffea brevipes
2278,Coffea canephora
2279,Coffea congensis
2280,Coffea eugenioides
2281,Coffea guarini
2282,Coffea kapakata
2283,Coffea liberica
2284,Coffea racemosa
2285,Coffea salvatrix
2286,Coffea sp.
2287,Coffea stenophylla
2288,Cohnella laeviribosi
2289,Coix lacryma-jobi
2290,Colchicum autumnale
2291,Coleataenia prionitis
2292,Coleochaete scutata
2293,Coleofasciculus chthonoplastes
2294,Colias croceus
2295,Colias eurytheme
2296,Colinus virginianus
2297,Coliphage PHI20
2298,Coliphage PHI95
2299,Colitis bacteriophage
2300,Collariella gracilis
2301,Collariella virescens
2302,Colletotrichum capsici
2303,Colletotrichum coccodes
2304,Colletotrichum gloeosporioides
2305,Colletotrichum graminicola
2306,Colletotrichum higginsianum
2307,Colletotrichum lagenaria
2308,Colletotrichum lindemuthianum
2309,Colletotrichum lupini
2310,Colletotrichum magnum
2311,Colletotrichum orbiculare
2312,Colletotrichum trifolii
2313,Colletotrichum truncatum
2314,Collimonas fungivorans
2315,Collinsella aerofaciens
2316,Collybia dryophila
2317,Colobocentrotus sp.
2318,Colobus angolensis
2319,Colobus guereza
2320,Colobus polykomos
2321,Colocasia esculenta
2322,Cololabis saira
2323,Colossoma macropomum
2324,Colpomenia sinuosa
2325,Columba livia
2326,Columba sp.
2327,Columbia domesticus
2328,Columnea hybrida
2329,Colwellia maris
2330,Colwellia psychrerythraea
2331,Colwellia sp.
2332,Comamonas oleophilus
2333,Comamonas sp.
2334,Comamonas terrigena
2335,Comamonas testosteroni
2336,Comamonas thiooxydans
2337,Commelina communis
2338,Commelina nilagirica
2339,Commonote archaea
2340,Concholepas concholepas
2341,Condylactis sp.
2342,Conexibacter woesei
2343,Congregibacter litoralis
2344,Conidiobolus coronatus
2345,Conidiobolus lamprauges
2346,Coniella diplodiella
2347,Coniophora cerebella
2348,Coniophora puteana
2349,Coniothyrium sp.
2350,Conium maculatum
2351,Conocephalum conicum
2352,Conocybe apala
2353,Conogethes punctiferalis
2354,Conomurex luhuanus
2355,Consolida orientalis
2356,consortium cosmid
2357,Conticribra weissflogii
2358,Conus amadis
2359,Conus arenatus
2360,Conus bullatus
2361,Conus caracteristicus
2362,Conus coronatus
2363,Conus ebraeus
2364,Conus geographus
2365,Conus lividus
2366,Conus marmoreus
2367,Conus miles
2368,Conus planorbis
2369,Conus quercinus
2370,Conus striatus
2371,Conus tessulatus
2372,Conus textile
2373,Conus varius
2374,Conus vexillum
2375,Convallaria majalis
2376,Convolvulus arvensis
2377,Convolvulus tricolor
2378,Coprinellus congregatus
2379,Coprinellus radians
2380,Coprinopsis atramentaria
2381,Coprinopsis cinerea
2382,Coprinopsis clastophylla
2383,Coprinopsis lagopus
2384,Coprinopsis radiata
2385,Coprinus comatus
2386,Coprococcus catus
2387,Coprococcus sp.
2388,Coprothermobacter proteolyticus
2389,Coptis chinensis
2390,Coptis japonica
2391,Coptotermes formosanus
2392,Corallina officinalis
2393,Corallina pilulifera
2394,Corallococcus coralloides
2395,Corallococcus sp.
2396,Corbicula japonica
2397,Corbicula leana
2398,Corbula caribea
2399,Corchorus olitorius
2400,Corcyra cephalonica
2401,Cordyceps javanica
2402,Cordyceps militaris
2403,Cordyceps sp.
2404,Coregonus autumnalis
2405,Coregonus lavaretus
2406,Coregonus sardinella
2407,Coreopsis grandiflora
2408,Coreus marginatus
2409,Coriandrum sativum
2410,Coriolisimus fulvocinerea
2411,Coriolopsis byrsina
2412,Coriolopsis gallica
2413,Coriolopsis rigida
2414,Coriolopsis trogii
2415,Coriolus pruinosum
2416,Coriolus sp.
2417,Cornus officinalis
2418,Corollospora intermedia
2419,Corticium caeruleum
2420,Corticium centrifugum
2421,Cortinarius sp.
2422,Corycaeus anglicus
2423,Corydalis cava
2424,Corydalis chinensis
2425,Corydalis saxicola
2426,Corydalis vaginans
2427,Corylus avellana
2428,Corylus sp.
2429,Corynascus sepedonium
2430,Corynebacterium acetophilum
2431,Corynebacterium alkanolyticum
2432,Corynebacterium ammoniagenes
2433,Corynebacterium belfanti
2434,Corynebacterium callunae
2435,Corynebacterium cholesterolicum
2436,Corynebacterium crenatum
2437,Corynebacterium cyclohexanicum
2438,Corynebacterium diphtheriae
2439,Corynebacterium efficiens
2440,Corynebacterium flavescens
2441,Corynebacterium glutamicum
2442,Corynebacterium glyciniphilum
2443,Corynebacterium hydrocarbons
2444,Corynebacterium jeikeium
2445,Corynebacterium murisepticum
2446,Corynebacterium nephridii
2447,Corynebacterium nitrilophilus
2448,Corynebacterium pekinense
2449,Corynebacterium phage
2450,Corynebacterium pseudodiphtheriticum
2451,Corynebacterium pseudotuberculosis
2452,Corynebacterium renale
2453,Corynebacterium sp.
2454,Corynebacterium stationis
2455,Corynebacterium striatum
2456,Corynebacterium ulcerans
2457,Corynebacterium urealyticum
2458,Corynebacterium vitaeruminis
2459,Corynebacterium xerosis
2460,Coryneform bacterium
2461,Corynephage beta
2462,Coscinium fenestratum
2463,Cosmopolites sordidus
2464,Cosmos sulphureus
2465,Costus pictus
2466,Cotesia vestalis
2467,Cottus gobio
2468,Coturnix coturnix
2469,Coturnix japonica
2470,Coturnix sp.
2471,Cowpea mosaic
2472,cowpox virus
2473,Coxiella burnetii
2474,Coxsackievirus A16
2475,Coxsackievirus B2
2476,Coxsackievirus B3
2477,Coxsackievirus B4
2478,Crambe hispanica
2479,Crangon crangon
2480,Crassicarpon hotsonii
2481,Crassicarpon thermophilum
2482,Crassostrea angulata
2483,Crassostrea gigas
2484,Crassostrea hongkongensis
2485,Crassostrea sp.
2486,Crassostrea virginica
2487,Crassula arborescens
2488,Crassula argentea
2489,Crataegus laevigata
2490,Craterostigma plantagineum
2491,Cratomorphus distinctus
2492,Creatonotos transiens
2493,Crenomytilus grayanus
2494,Crenothrix polyspora
2495,Crepidiastrum sonchifolium
2496,Crepis alpina
2497,Crepis palaestina
2498,Crepis rubra
2499,Cricetulus griseus
2500,Cricetulus longicaudatus
2501,Cricetulus sp.
2502,Cricetus cricetus
2503,Crinalium epipsammum
2504,Cristaria plicata
2505,Crithidia fasciculata
2506,Crithidia luciliae
2507,Crithidia sp.
2508,Crithmum maritimum
2509,Crocodylus acutus
2510,Crocodylus palustris
2511,Crocodylus porosus
2512,Crocodylus siamensis
2513,Crocosphaera watsonii
2514,Crocus ancyrensis
2515,Crocus angustifolius
2516,Crocus chrysanthus
2517,Crocus korolkowii
2518,Crocus olivieri
2519,Crocus sativus
2520,Crocus sieberi
2521,Crocus vernus
2522,Crocus vitellinus
2523,Cronbergia siamensis
2524,Cronobacter sakazakii
2525,Crotalaria juncea
2526,Crotalaria scassellatii
2527,Crotalaria spectabilis
2528,Crotalus adamanteus
2529,Crotalus atrox
2530,Crotalus basiliscus
2531,Crotalus cerastes
2532,Crotalus cerberus
2533,Crotalus durissus
2534,Crotalus horridus
2535,Crotalus molossus
2536,Crotalus oreganus
2537,Crotalus ruber
2538,Crotalus scutulatus
2539,Crotalus sp.
2540,Crotalus terrificus
2541,Crotalus viridis
2542,Croton stellatopilosus
2543,Croton sublyratus
2544,Cryphonectria parasitica
2545,Crypthecodinium cohnii
2546,Cryptobacterium curtum
2547,Cryptobia salmositica
2548,Cryptococcus gattii
2549,Cryptococcus laurentii
2550,Cryptococcus neoformans
2551,Cryptococcus sp.
2552,Cryptomeria japonica
2553,Cryptomonas sp.
2554,Cryptopygus antarcticus
2555,Cryptosporidium hominis
2556,Cryptosporidium muris
2557,Cryptosporidium parvum
2558,Cryptotermes secundus
2559,Cryptothecodinium cohnii
2560,Ctenocephalides felis
2561,Ctenodiscus crispatus
2562,Ctenopharyngodon idella
2563,Ctenopseustis herana
2564,Ctenopseustis obliquana
2565,Cucumber mosaic
2566,cucumber vein
2567,Cucumis melo
2568,Cucumis sativa
2569,Cucumis sativus
2570,Cucumis sp.
2571,Cucumis trigonus
2572,Cucurbita ficifolia
2573,Cucurbita maxima
2574,Cucurbita moschata
2575,Cucurbita pepo
2576,Cucurbita sp.
2577,Culex nigripalpus
2578,Culex pipiens
2579,Culex quinquefasciatus
2580,Culex sp.
2581,Culicidospora gravida
2582,Culicoides kibunensis
2583,Cullen corylifolium
2584,Cunninghamella bainieri
2585,Cunninghamella bertholletiae
2586,Cunninghamella echinulata
2587,Cunninghamella elegans
2588,Cunninghamella ramosa
2589,Cunninghamella sp.
2590,Cunninghamia lanceolata
2591,Cuphea calophylla
2592,Cuphea carthagenensis
2593,Cuphea hookeriana
2594,Cuphea lanceolata
2595,Cuphea lutea
2596,Cuphea sp.
2597,Cuphea wrightii
2598,Cupiennius salei
2599,Cupressus sempervirens
2600,Cupriavidus basilensis
2601,Cupriavidus campinensis
2602,Cupriavidus crocatus
2603,Cupriavidus metallidurans
2604,Cupriavidus necator
2605,Cupriavidus oxalaticus
2606,Cupriavidus pinatubonensis
2607,Cupriavidus sp.
2608,Curculigo pilosa
2609,Curcuma aromatica
2610,Curcuma longa
2611,Curcuma zedoaria
2612,Curtobacterium albidum
2613,Curtobacterium flaccumfaciens
2614,Curtobacterium oceanosedimentum
2615,Curtobacterium sp.
2616,Curvularia inaequalis
2617,Curvularia lunata
2618,Cuscuta campestris
2619,Cuscuta epithymum
2620,Cuscuta europaea
2621,Cuscuta gronovii
2622,Cuscuta japonica
2623,Cuscuta lupuliformis
2624,Cuscuta pentagona
2625,Cuscuta platyloba
2626,Cuscuta reflexa
2627,Cutaneotrichosporon curvatus
2628,Cutaneotrichosporon cutaneum
2629,Cutaneotrichosporon jirovecii
2630,Cutaneotrichosporon moniliiforme
2631,Cutibacterium acnes
2632,Cutibacterium granulosum
2633,Cyamopsis tetragonoloba
2634,Cyanagraea praedator
2635,Cyanea nozakii
2636,Cyanidioschyzon merolae
2637,Cyanidioschyzon sp.
2638,Cyanidium caldarium
2639,Cyanobacterium sp.
2640,Cyanobium sp.
2641,Cyanophage S-TIM5
2642,Cyanophora paradoxa
2643,Cyanoptyche gloeocystis
2644,Cyanothece sp.
2645,Cyathobasis fruticulosa
2646,Cyathus bulleri
2647,Cyathus stercoreus
2648,Cyberlindnera fabianii
2649,Cyberlindnera jadinii
2650,Cyberlindnera mrakii
2651,Cyberlindnera rhodanensis
2652,Cyberlindnera saturnus
2653,Cycas panzhihuaensis
2654,Cycas revoluta
2655,Cycas sp.
2656,Cyclamen persicum
2657,Cyclamen purpurascens
2658,Cycloclasticus oligotrophus
2659,Cyclotella cryptica
2660,Cyclotella nana
2661,Cydia pomonella
2662,Cydonia oblonga
2663,Cylindrocarpon didymum
2664,Cylindrocarpon sclerotigenum
2665,Cylindrospermopsis raciborskii
2666,Cylindrospermum licheniforme
2667,Cylindrospermum majus
2668,Cylindrospermum stagnale
2669,Cylindrotheca closterium
2670,Cylindrotheca fusiformis
2671,Cylindrotheca sp.
2672,Cymatium pileare
2673,Cymbidium hybrid
2674,Cymbopogon ambiguus
2675,Cymbopogon bombycinus
2676,Cymbopogon citratus
2677,Cymbopogon flexuosus
2678,Cymbopogon martinii
2679,Cynanchum gracillimum
2680,Cynara cardunculus
2681,Cynocephalus volans
2682,Cynodon dactylon
2683,Cynoglossum officinale
2684,Cynoglossus semilaevis
2685,Cynomys ludovicianus
2686,Cynops pyrrhogaster
2687,Cyperus esculentus
2688,Cyperus iria
2689,Cyperus prolifer
2690,Cyperus rotundus
2691,Cyphoma gibbosum
2692,Cypraea tigris
2693,Cypraecassis rufa
2694,Cypridina noctiluca
2695,Cypridina sp.
2696,Cyprinus carpio
2697,Cyrtograpsus angulatus
2698,Cyrtonaias tampicoensis
2699,Cystobasidium minutum
2700,Cystoclonium purpureum
2701,Cystofilobasidium capitatum
2702,Cystoseira tamariscifolia
2703,Cytisus beanii
2704,Cytisus canariensis
2705,Cytisus multiflorus
2706,Cytisus scoparius
2707,Cytophaga hutchinsonii
2708,Cytophaga sp.
2709,Cytophaga xylanolytica
2710,Daboia lebetina
2711,Daboia palaestinae
2712,Daboia russelii
2713,Daboia siamensis
2714,Dactylella aquatica
2715,Dactylella shizishanna
2716,Dactylis glomerata
2717,Dactylococcus salina
2718,Dactylorhiza purpurella
2719,Dactylosporangium aurantiacum
2720,Dactylosporangium sp.
2721,Dactylosporangium thailandense
2722,Dactynotus jaceae
2723,Daedalea quercina
2724,Daedaleopsis flavida
2725,Daedaleopsis styracina
2726,Dahlia pinnata
2727,Dalbergia cochinchinensis
2728,Dalbergia nigrescens
2729,Dalbergia sissoo
2730,Daldinia eschscholtzii
2731,Damaliscus lunatus
2732,Danio rerio
2733,Daphne genkwa
2734,Daphne odora
2735,Daphnia magna
2736,Daphnia pulex
2737,Daphnis nerii
2738,Dasyatis pastinaca
2739,Dasyatis sabina
2740,Dasypyrum villosum
2741,Dasytricha ruminantium
2742,Datisca glomerata
2743,Datura inoxia
2744,Datura metel
2745,Datura stramonium
2746,Datura wrightii
2747,Daucus carota
2748,Davallia trichomanoides
2749,Davallia tyermannii
2750,Davidia involucrata
2751,Dawsonia spp.
2752,Deamia testudo
2753,Debaryomyces castellii
2754,Debaryomyces hansenii
2755,Debaryomyces nepalensis
2756,Debaryomyces robertsiae
2757,Debaryomyces sp.
2758,Debaryomyces subglobosus
2759,Decalepis hamiltonii
2760,Decapterus maruadsi
2761,Dechloromonas agitata
2762,Dechloromonas aromatica
2763,Dechloromonas denitrificans
2764,Dechloromonas hortensis
2765,Dechloromonas sp.
2766,Dechlorosoma sp.
2767,Dechlorospirillum anomalous
2768,deerpox virus
2769,Defluvibacter sp.
2770,Defluviitalea phaphyphila
2771,Dehalobacter restrictus
2772,Dehalobacter sp.
2773,Dehalococcoides mccartyi
2774,Dehalococcoides sp.
2775,Deilephila elpenor
2776,Deinagkistrodon acutus
2777,Deinococcus deserti
2778,Deinococcus geothermalis
2779,Deinococcus gobiensis
2780,Deinococcus proteolyticus
2781,Deinococcus radiodurans
2782,Deinococcus radiophilus
2783,Deinococcus radiopugnans
2784,Deinococcus sp.
2785,Delesseria sanguinea
2786,Delftia acidovorans
2787,Delftia sp.
2788,Delftia tsuruhatensis
2789,Delia antiqua
2790,Delia floralis
2791,Delisea pulchra
2792,Delonix regia
2793,Delphinapterus leucas
2794,Delphinium cardinale
2795,Delphinium grandiflorum
2796,Delphinium nudicaule
2797,Delphinium semibarbatum
2798,Demequina sp.
2799,Dendrobaena veneta
2800,Dendrobium catenatum
2801,Dendrobium huoshanense
2802,Dendrobium hybrid
2803,Dendrobium moniliforme
2804,Dendrobium nobile
2805,Dendrobium officinale
2806,Dendroctonus ponderosae
2807,Dendrolimus punctatus
2808,Dendronephthya gigantea
2809,Dendrophthoe falcata
2810,Dendrospora erecta
2811,Dengue virus
2812,denitrifying bacterium
2813,Denitrovibrio acetiphilus
2814,Dentalium pilsbryi
2815,Dentex tumifrons
2816,Derbesia tenuissima
2817,Dermanyssus gallinae
2818,Dermasterias imbricata
2819,Dermatophagoides farinae
2820,Dermatophagoides pteronyssinus
2821,Dermatophilus congolensis
2822,Derxia gummosa
2823,Deschampsia antarctica
2824,Deschampsia danthonioides
2825,Descurainia sophia
2826,Desemzia incerta
2827,Desertifilum sp.
2828,Desmodium cinereum
2829,Desmodium intortum
2830,Desmodium paniculatum
2831,Desmodium psilocarpum
2832,Desmodium uncinatum
2833,Desmodus rotundus
2834,Desmonostoc muscorum
2835,Desmospora sp.
2836,Desulfarculus baarsii
2837,Desulfatibacillum alkenivorans
2838,Desulfitobacterium dichloroeliminans
2839,Desulfitobacterium hafniense
2840,Desulfitobacterium sp.
2841,Desulfobacter postgatei
2842,Desulfobacter vibrioformis
2843,Desulfobacula toluolica
2844,Desulfobulbus elongatus
2845,Desulfobulbus propionicus
2846,Desulfobulbus sp.
2847,Desulfocapsa sulfexigens
2848,Desulfococcus multivorans
2849,Desulfococcus oleovorans
2850,Desulfofundulus kuznetsovii
2851,Desulfofundulus thermocisternus
2852,Desulfomicrobium baculatum
2853,Desulfomicrobium norvegicum
2854,Desulfomicrobium sp.
2855,Desulfosarcina cetonica
2856,Desulfosarcina variabilis
2857,Desulfosporosinus orientis
2858,Desulfotalea psychrophila
2859,Desulfotomaculum nigrificans
2860,Desulfotomaculum reducens
2861,Desulfotomaculum ruminis
2862,Desulfotomaculum sp.
2863,Desulfovibrio africanus
2864,Desulfovibrio alaskensis
2865,Desulfovibrio alcoholivorans
2866,Desulfovibrio aminophilus
2867,Desulfovibrio desulfuricans
2868,Desulfovibrio fructosivorans
2869,Desulfovibrio gigas
2870,Desulfovibrio multispirans
2871,Desulfovibrio piger
2872,Desulfovibrio salexigens
2873,Desulfovibrio sp.
2874,Desulfovibrio vulgaris
2875,Desulfurobacterium crinifex
2876,Desulfurobacterium thermolithotrophum
2877,Desulfurococcaceae archaeon
2878,Desulfurococcus amylolyticus
2879,Desulfurococcus mucosus
2880,Desulfurococcus saccharovorans
2881,Desulfurococcus sp.
2882,Desulfuromonas acetexigens
2883,Desulfuromonas acetoxidans
2884,Desulfuromusa succinoxidans
2885,Deuteromycotina sp.
2886,Developayella elegans
2887,Devosia riboflavina
2888,Diabrotica virgifera
2889,Diadema setosum
2890,Dianthus caryophyllus
2891,Dianthus chinensis
2892,Diaphorina citri
2893,Diaphorobacter sp.
2894,Diaphus gigas
2895,Diaporthe ambigua
2896,Diaporthe amygdali
2897,Diaporthe liquidambaris
2898,Diaporthe perjuncta
2899,Diaporthe phaseolorum
2900,Diaprepes abbreviatus
2901,Diatraea saccharalis
2902,Dicentra cucullaria
2903,Dicentrarchus labrax
2904,Diceros bicornis
2905,Dichanthium aristatum
2906,Dichanthium sericeum
2907,Dichapetalum cymosum
2908,Dichelobacter nodosus
2909,Dichomera saubinetii
2910,Dichomitus squalens
2911,Dickeya chrysanthemi
2912,Dickeya dadantii
2913,Dicranopteris linearis
2914,Dicranopteris sp.
2915,Dicranum scoparium
2916,Dicrocoelium dendriticum
2917,Dictamnus albus
2918,Dictyocaulus viviparus
2919,Dictyoglomus thermophilum
2920,Dictyoglomus turgidum
2921,Dictyostelium discoideum
2922,Dictyostelium mucoroides
2923,Dictyostelium purpureum
2924,Dictyostelium sp.
2925,Dictyota sp.
2926,Didelphis albiventris
2927,Didelphis aurita
2928,Didelphis marsupialis
2929,Didelphis sp.
2930,Didelphis virginiana
2931,Didymosphaeria variabile
2932,Dietzia maris
2933,Dietzia sp.
2934,Digitalis lanata
2935,Digitalis purpurea
2936,Digitaria adscendens
2937,Digitaria brownii
2938,Digitaria ischaemum
2939,Digitaria sanguinalis
2940,Digitaria smutsi
2941,Dilocarcinus pagei
2942,Dimocarpus longan
2943,Dimorphotheca sinuata
2944,Dinebra chinensis
2945,Dinobryon sociale
2946,Dinoroseobacter shibae
2947,Dioclea megacarpa
2948,Diodora cayenensis
2949,Dioscorea alata
2950,Dioscorea batatus
2951,Dioscorea bulbifera
2952,Dioscorea caucasica
2953,Dioscorea cayenensis-rotundata
2954,Dioscorea cayennensis
2955,Dioscorea dumetorum
2956,Dioscorea japonica
2957,Dioscorea oppositifolia
2958,Dioscorea polystachya
2959,Dioscorea praehensilis
2960,Dioscorea rotundata
2961,Diospyros kaki
2962,Diospyros sp.
2963,Diplococcus sp.
2964,Diplodia seriata
2965,Diplodia viticola
2966,Diplodus cervinus
2967,Diplodus puntazzo
2968,Diploknema butyracea
2969,Diplonema papillatum
2970,Diploptera punctata
2971,Diplopterygium glaucum
2972,Diplotaxis ibicensis
2973,Dipodomys ordii
2974,Dipturus trachyderma
2975,Dipturus whitleyi
2976,Dirofilaria immitis
2977,Discopyge tschudii
2978,Dissostichus mawsoni
2979,Distimake quinquefolius
2980,Diutina catenulata
2981,Diutina rugosa
2982,Dixoniella grisea
2983,Dolabella auricularia
2984,Dolichospermum circinale
2985,Dolichospermum flos-aquae
2986,Dolichovespula maculata
2987,Dollabella auricola
2988,Domania subtryug
2989,Dorcoceras hygrometricum
2990,Dorea sp.
